metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1786705343.7329,elite,2911.3943880663,1710553131.0743,AS5769 Videotron Ltee,VIDEOTRON,Montreal,North America,,Canada,CA,,False,Le Groupe Videotron Ltee,45.4803,-73.5558,False,Videotron Ltee,True,Quebec,success,America/Toronto,H3K,1786444779,1786705503.1925,51056,socks4,24.37.245.42:51056,True,522.44138717651,234493,967594,19.507157135881,24.37.245.42
True,1786705253.0441,elite,410.79221180327,1782725900.1328,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,True,Grand Est,success,Europe/Paris,67630,1786445235,1786705503.1397,1088,socks5,144.91.111.48:1088,True,603.57069969177,109047,2268,97.96253874141,144.91.111.48
True,1786705259.2641,elite,2950.7550645333,1786350246.3645,AS215730 H2NEXUS LTD,H2NEXUS-AS,Helsinki,Europe,EU,Finland,FI,,True,H2nexus LTD,60.1719,24.9347,False,H2nexus LTD,True,Uusimaa,success,Europe/Helsinki,00221,1786347156,1786705502.8357,6021,http,45.144.53.63:6021,True,303.14970016479,1041,2046,33.722060252672,45.144.53.63
True,1786705491.508,elite,3903.5821679571,1786396374.4965,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786393425,1786705502.557,49288,socks4,216.106.179.216:49288,True,596.73643112183,1294,5826,18.174157303371,216.106.179.216
True,1786705502.3228,elite,4720.6020812091,1786147449.772,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786145017,1786705502.3228,49292,socks5,216.106.179.216:49292,True,800.93908309937,4282,9847,30.306461886899,216.106.179.216
True,1786705451.2649,elite,3161.6089179267,1783198949.6971,AS262391 ACESSOLINE TELECOMUNICACOES LTDA,ACESSOLINE TELECOMUNICACOES LTDA,Joaçaba,South America,SA,Brazil,BR,,False,Acessoline Telecom,-27.1552,-51.5902,False,Acessoline Telecomunicacoes Ltda,True,Santa Catarina,success,America/Sao_Paulo,89600,1786219436,1786705502.099,5432,socks4,190.89.104.48:5432,True,1037.257194519,69521,86381,44.592756988364,190.89.104.48
True,1786702002.0411,anonymous,962.64187888232,1783205314.9095,AS4755 TATA Communications formerly VSNL is Leading ISP,TATACOMM-AS,Kolkata,Asia,AS,India,IN,,False,Tata Communications Limited,22.5643,88.3693,False,Tata Communications Limited,True,West Bengal,success,Asia/Kolkata,700001,1786225812,1786705502.0361,80,http,219.65.73.80:80,False,951.26247406006,55005,808,98.552308601939,219.65.73.80
True,1786689643.7003,elite,2449.4765524557,1776081958.7435,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1786361002,1786705501.9613,4145,socks5,184.182.240.211:4145,True,1088.1748199463,190550,471,99.753430251124,184.182.240.211
True,1786705310.7788,elite,3629.6730494394,1777029989.1633,"AS20473 The Constant Company, LLC",AS-VULTR,Elk Grove Village,North America,,United States,US,,True,The Constant Company,42.0048,-87.9954,False,"Vultr Holdings, LLC",True,Illinois,success,America/Chicago,60007,1786362980,1786705501.9601,1080,socks5,104.207.139.62:1080,True,627.31790542603,19230,11720,62.132471728595,104.207.139.62
True,1786705501.9533,elite,3451.8143632556,1783573221.5345,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Phoenix,North America,,United States,US,,False,Global Connectivity Solutions LLP,33.4532,-112.0748,False,Global Connectivity Solutions LLP,True,Arizona,success,America/Phoenix,85001,1786596163,1786705501.9533,1082,socks4,178.130.47.50:1082,True,1734.8535060883,92478,60182,60.577754487096,178.130.47.50
True,1786705501.8639,elite,828.03210252291,1786639033.3789,AS7552 Viettel Group,VIETEL-AS-AP,Can Tho,Asia,AS,Vietnam,VN,,False,Viettel Corporation,10.0361,105.7941,False,VIETEL,False,Can Tho,success,Asia/Ho_Chi_Minh,900000,1786635623,1786705501.8639,1080,socks4,171.247.247.44:1080,True,830.08670806885,775,1297,37.403474903475,171.247.247.44
True,1786705468.7153,elite,835.56535252945,1776082204.7704,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1786360136,1786705501.8541,4145,socks4,184.170.245.148:4145,True,733.8399887085,213527,239712,47.111347434797,184.170.245.148
True,1786549892.5898,elite,1353.3093278506,1776081495.3619,"AS8757 NSFOCUS, Inc.",NSFOCUS,London,Europe,EU,United Kingdom,GB,,False,"NSFOCUS, Inc.",51.5072,-0.127586,False,"NSFOCUS, Inc",True,England,success,Europe/London,W1B,1786620375,1786705501.8343,1080,socks5,212.58.132.5:1080,True,1115.4210567474,177447,300,99.831220780098,212.58.132.5
True,1786705501.7812,elite,5469.9767120814,1786533338.9291,AS7552 Viettel Group,VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,False,Viettel Corporation,21.0278,105.834,True,VIETEL,False,Hanoi,success,Asia/Bangkok,,1786531400,1786705501.7812,1088,socks4,171.253.95.24:1088,True,2033.269405365,3618,3377,51.722659042173,171.253.95.24
True,1786705492.7611,elite,3480.2628195947,1786314266.69,AS262470 Pontenet Teleinformática Ltda.,Pontenet Teleinformática Ltda.,Ponte Nova,South America,SA,Brazil,BR,,False,Pontenet Teleinformática Ltda.,-20.4068,-42.9171,False,Pontenet Teleinformática Ltda,False,Minas Gerais,success,America/Sao_Paulo,35430,1786313167,1786705501.7788,1080,socks4,131.255.171.111:1080,True,985.97717285156,7783,8466,47.898332205059,131.255.171.111
True,1786705501.5879,elite,4088.0055028103,1786203621.9986,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786203389,1786705501.5879,49463,socks4,216.106.179.216:49463,True,1647.0766067505,3250,11131,22.599262916348,216.106.179.216
True,1786705501.4011,elite,1412.3908416318,1783187702.8313,AS265144 MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,Águas Lindas de Goiás,South America,SA,Brazil,BR,,False,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,-15.7623,-48.2873,False,Linkplanet Servicos De Comunicacao Multimidia Ltda,True,Goiás,success,America/Sao_Paulo,72910,1786210132,1786705501.4011,1080,socks4,143.255.109.76:1080,True,1039.9012565613,87108,74622,53.860137265813,143.255.109.76
True,1786672053.5028,elite,1763.8761738474,1776079653.542,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1786359955,1786705501.3207,4145,socks4,184.182.240.211:4145,True,902.31108665466,787033,1047,99.867145467465,184.182.240.211
True,1786705444.4616,elite,926.063671901,1696965524.8855,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,,False,Total Server Solutions L.L.C.,34.0549,-118.243,False,Wonderwall.com,True,California,success,America/Los_Angeles,90009,1786329712,1786705501.3193,4145,socks4,68.71.247.130:4145,True,830.48248291016,412515,995047,29.307057166931,68.71.247.130
True,1786705501.2793,elite,876.06404750743,1785081179.9451,AS7552 Viettel Group,VIETEL-AS-AP,Ho Chi Minh City,Asia,AS,Vietnam,VN,,False,VIETELxdsl,10.822,106.6257,False,xDSL Services,True,Ho Chi Minh,success,Asia/Ho_Chi_Minh,700000,1786290785,1786705501.2793,1080,socks4,115.74.157.21:1080,True,822.65973091125,16297,43351,27.321955472103,115.74.157.21
True,1786670831.9809,elite,1736.3639951162,1776081093.7751,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1786359931,1786705501.1812,4145,socks4,184.182.240.12:4145,True,874.35412406921,782310,2327,99.703429738847,184.182.240.12
True,1786705475.1922,elite,867.36820068305,1786607287.6936,AS24086 Viettel Corporation,VIETTEL-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,False,Viettel Group,21.0278,105.834,False,VIETTEL,False,Hanoi,success,Asia/Bangkok,,1786604766,1786705501.0653,1080,socks4,116.100.217.100:1080,True,817.67129898071,1417,2003,41.432748538012,116.100.217.100
True,1786700263.6603,elite,2856.8474755101,1786080119.4144,AS12876 Scaleway SAS,AS12876,Paris,Europe,EU,France,FR,,True,SCALEWAY,48.8558,2.3494,False,ONLINE,True,Île-de-France,success,Europe/Paris,75001,1786682358,1786705500.7956,10006,socks4,51.159.97.242:10006,True,129.69827651978,42610,1557,96.474743586841,51.159.97.242
True,1786705500.7852,elite,1263.8079787109,1776080415.877,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,Downtown Los Angeles,True,Performive LLC,34.046,-118.259,False,Total Server Solutions,True,California,success,America/Los_Angeles,90017,1786449554,1786705500.7852,4145,socks5,206.220.175.2:4145,True,979.30407524109,57398,46566,55.209495594629,206.220.175.2
True,1786699303.7186,elite,1677.2358849769,1786067765.5639,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,Alibaba.com LLC,1.35208,103.82,False,"Delta Centric LLC, Zenlayer Inc",False,North West,success,Asia/Singapore,858877,1786669151,1786705500.7749,3128,http,47.84.84.1:3128,False,923.15912246704,11105,66,99.409184495569,47.84.84.1
True,1786705500.7746,elite,2724.5481496253,1786681263.4924,AS150554 PT Jaringan Tiang Indonesia Group,IDNIC-JTIG-AS-ID,Pemalang,Asia,AS,Indonesia,ID,,False,PT Jaringan Tiang Indonesia Group,-7.0362,109.3951,False,PT Jaringan Tiang Indonesia Group,False,Central Java,success,Asia/Jakarta,52315,1786680820,1786705500.7746,1080,socks4,103.167.156.92:1080,True,940.92488288879,577,337,63.129102844639,103.167.156.92
True,1786705252.5487,elite,2582.7195646949,1786041028.2916,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Santa Clara,North America,,United States,US,,True,Shenzhen Tencent Computer Systems Company Limited,37.353,-121.9544,False,"Tencent Cloud Computing (Beijing) Co., Ltd",False,California,success,America/Los_Angeles,95052,1786644206,1786705500.7715,1080,socks5,43.162.94.99:1080,True,2003.3729076385,36191,2715,93.021641906133,43.162.94.99
True,1786705500.604,elite,124.25775319627,1786566089.799,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Paris,Europe,EU,France,FR,,False,Global Connectivity Solutions LLP,48.8558,2.3494,False,Global Connectivity Solutions LLP,True,Île-de-France,success,Europe/Paris,75001,1786563227,1786705500.604,1082,socks5,62.133.62.18:1082,True,92.770099639893,1245,2214,35.993061578491,62.133.62.18
True,1786705415.4603,elite,3022.4770472155,1780204979.8641,AS141595 PT Akbar Prima Media,PRIME-AS-ID,Pendaleman,Asia,AS,Indonesia,ID,,False,PRIME,-8.6844,116.24,False,,True,West Nusa Tenggara,success,Asia/Makassar,,1786250878,1786705500.588,8080,socks4,103.160.205.244:8080,True,1008.7652206421,134856,154365,46.627319592976,103.160.205.244
True,1786704484.6169,elite,2690.6190640371,1783658213.9776,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,Aceville Pte.ltd,1.35208,103.82,False,,True,North West,success,Asia/Singapore,858877,1786680065,1786705500.5693,7890,socks4,43.160.255.142:7890,True,654.08134460449,201641,17811,91.883874377996,43.160.255.142
True,1786700897.2664,elite,1370.4246741219,1785819004.492,AS63023 GTHost,AS-GLOBALTELEHOST,Milan,Europe,EU,Italy,IT,,False,GTHost,45.4642,9.1899,False,GTHost,True,Lombardy,success,Europe/Rome,,1786420307,1786705500.5108,10006,socks5,66.163.119.55:10006,True,132.60078430176,54665,446,99.190724174847,66.163.119.55
True,1786703416.622,elite,3225.8383036166,1786586842.4978,AS2042 HK Global Cloud DataCenter,GCT-HK,Hong Kong,Asia,AS,Hong Kong,HK,,False,zhelet limited,22.3193,114.169,False,zhelet limited,False,Kowloon,success,Asia/Hong_Kong,999077,1786583556,1786705500.4249,1080,socks5,150.242.218.137:1080,True,3077.8214931488,7093,27,99.620786516854,150.242.218.137
True,1786171495.7902,elite,66.77923349683,1765046158.1695,AS51436 IDEALAN Sp. z o.o.,IDEALAN-AS,Sokółka,Europe,EU,Poland,PL,,False,IDEALAN Spolka Jawna - Piekarski,53.4006,23.4997,False,IDEALAN Sp. z o.o,True,Podlasie,success,Europe/Warsaw,16-100,1786215646,1786705500.3907,80,http,178.212.144.7:80,False,47.40571975708,415965,4383,98.957292529047,178.212.144.7
True,1786705434.9697,elite,2742.4787001589,1776086046.2566,AS31163 PJSC MegaFon,MF-KAVKAZ-AS,Moscow,Europe,EU,Russia,RU,,False,PJSC MegaFon,55.7558,37.6173,False,,True,Moscow,success,Asia/Krasnoyarsk,144700,1786367879,1786705500.38,4145,socks4,109.106.196.250:4145,True,3351.9103527069,67305,267740,20.088346341536,109.106.196.250
True,1786700720.4237,elite,770.37648822818,1784844971.3799,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Stockbridge,North America,,United States,US,,False,NET2ATLANTA.COM LLC,33.553,-84.2338,False,NET2ATLANTA.COM LLC,True,Georgia,success,America/New_York,30281,1786657813,1786705500.3722,4145,socks4,199.66.183.251:4145,True,721.49538993835,149395,27,99.981930371699,199.66.183.251
True,1786705402.4617,elite,2562.7800589414,1785807309.8149,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Hong Kong,Asia,AS,Hong Kong,HK,,True,Alibaba Cloud LLC,22.3193,114.169,False,Alibaba Cloud - HK,False,Kowloon,success,Asia/Hong_Kong,999077,1786408817,1786705500.3622,3128,socks4,47.76.171.214:3128,True,910.43996810913,41279,14402,74.134803613441,47.76.171.214
True,1786704851.397,elite,1349.419148407,1785830333.9383,AS63023 GTHost,AS-GLOBALTELEHOST,Milan,Europe,EU,Italy,IT,,False,GTHost,45.4642,9.1899,False,GTHost,True,Lombardy,success,Europe/Rome,,1786435143,1786705500.3616,10006,socks4,66.163.119.55:10006,True,2128.9415359497,68516,618,99.106083837186,66.163.119.55
True,1786705500.3604,elite,521.44465021519,1781514780.1535,AS8369 Intersvyaz-2 JSC,INTERSVYAZ-AS,Chelyabinsk,Europe,EU,Russia,RU,,False,Intersvyaz-2 JSC,55.1553,61.4313,False,,True,Chelyabinsk Oblast,success,Asia/Yekaterinburg,454000,1786353771,1786705500.3604,1080,socks5,109.191.114.251:1080,True,585.49928665161,20485,22644,47.497043752464,109.191.114.251
True,1786705500.2414,elite,2659.0192631395,1786652725.922,AS204490 Kontel LLC,ASKONTEL,Moscow,Europe,EU,Russia,RU,,True,Kontel LLC,55.7487,37.6187,False,Contel OOO,False,Moscow,success,Europe/Moscow,101000,1786650608,1786705500.2414,1080,socks5,46.8.255.137:1080,True,1381.3400268555,1831,462,79.851722634104,46.8.255.137
True,1786705382.5577,elite,5707.4672476631,1786322296.9905,"AS20473 The Constant Company, LLC",AS-VULTR,Dallas,North America,,United States,US,,True,The Constant Company,32.7889,-96.8021,False,"Vultr Holdings, LLC",True,Texas,success,America/Chicago,75201,1786320030,1786705500.0301,1081,socks5,107.191.44.214:1081,True,2408.2305431366,16826,3188,84.071150194864,107.191.44.214
True,1786705500.0159,elite,6617.1370991561,1786436571.7271,AS204997 FIRST SERVER LIMITED,FIRSTBYTE-AS,Moscow,Europe,EU,Russia,RU,,True,First Server Limited,55.7487,37.6187,False,"FIRST SERVER, SOCIEDAD LIMITADA",False,Moscow,success,Europe/Moscow,101000,1786434277,1786705500.0159,40000,socks4,185.180.230.161:40000,True,2371.4287281036,1535,5799,20.929915462231,185.180.230.161
True,1786705454.6916,elite,2408.2105871826,1776087445.3967,AS12768 JSC ER-Telecom Holding,ER-TELECOM-AS,Perm,Europe,EU,Russia,RU,,False,"OJSC ""ER-Telecom"" Perm'",58.0047,56.2514,False,"JSC ""ER-Telecom Holding""",True,Perm Krai,success,Asia/Yekaterinburg,614000,1786434357,1786705500.0094,1080,socks5,46.146.220.180:1080,True,527.76741981506,25158,30642,45.086021505376,46.146.220.180
True,1786705499.9813,elite,3579.2436140697,1783469360.5624,AS53132 Mega Grupo de Telecomunicações Ltda,Mega Grupo de Telecomunicações Ltda,Afonso Cláudio,South America,SA,Brazil,BR,,False,Mega Grupo de Telecomunicações Ltda,-20.1046,-41.1236,False,Mega Grupo de Telecomunicações Ltda,True,Espírito Santo,success,America/Sao_Paulo,29600,1786493555,1786705499.9813,1080,socks4,177.125.144.94:1080,True,1024.8563289642,62191,81285,43.345925450946,177.125.144.94
True,1786679825.6586,elite,2412.314268607,1776081986.5473,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications Inc.,True,Florida,success,America/Chicago,32516,1786360673,1786705499.9749,4145,socks5,184.185.2.12:4145,True,2127.4676322937,190614,412,99.784322552951,184.185.2.12
True,1786705184.6527,elite,4563.2148748977,1786106370.6454,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,Shenzhen Tencent Computer Systems Company Limited,1.35208,103.82,False,Tencent Cloud Computing,False,North West,success,Asia/Singapore,858877,1786105975,1786705499.9511,2080,socks5,43.156.201.214:2080,True,1579.7936916351,27119,4947,84.572444333562,43.156.201.214
True,1786704354.3331,elite,4017.1031947896,1783186082.3245,AS197540 netcup GmbH,netcup-AS,Nuremberg,Europe,EU,Germany,DE,,True,netcup GmbH,49.4527,11.0783,False,NETCUP-KVM,True,Bavaria,success,Europe/Berlin,90403,1786209980,1786705499.9102,1080,socks5,159.195.61.240:1080,True,1505.8968067169,112481,5947,94.978383490391,159.195.61.240
True,1786705323.2966,elite,7287.0690801781,1784945075.7372,AS12876 Scaleway SAS,AS12876,Paris,Europe,EU,France,FR,,True,SCALEWAY,48.8558,2.3494,False,ONLINE,True,Île-de-France,success,Europe/Paris,75001,1786393465,1786705499.9077,8080,socks5,51.15.253.45:8080,True,2419.5322990417,19725,9090,68.453930244664,51.15.253.45
True,1786705499.8535,elite,4125.6356887655,1786146141.3148,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786143202,1786705499.8535,49430,socks5,216.106.179.216:49430,True,3784.2111587524,4579,10065,31.268779022125,216.106.179.216
True,1786705499.8472,elite,2807.6355857098,1784068829.855,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Frankfurt am Main,Europe,EU,Germany,DE,,False,Global Connectivity Solutions LLP,50.1169,8.6837,False,Global Connectivity Solutions LLP,True,Hesse,success,Europe/Berlin,60313,1786143356,1786705499.8472,1082,socks5,147.45.66.115:1082,True,3281.0535430908,23586,21169,52.70025695453,147.45.66.115
True,1786705323.8272,elite,2059.5855205357,1750609594.9627,AS8342 JSC RTComm.RU,RTCOMM-AS,Moscow,Europe,EU,Russia,RU,Tsentralnyy administrativnyy okrug,True,RTCOMM,55.7497,37.5375,False,In-Solve/1Gb.ru hosting services,True,Moscow,success,Europe/Moscow,144700,1786136508,1786705499.8383,80,http,81.177.160.200:80,False,218.94764900208,22639,71981,23.926231240752,81.177.160.200
True,1786705497.3906,elite,2295.0448412107,1780702974.8037,AS31898 Oracle Corporation,ORACLE-BMC-31898,Phoenix,North America,,United States,US,,True,Oracle Corporation,33.4656,-111.9956,False,Oracle Cloud Infrastructure (us-phoenix-1),True,Arizona,success,America/Phoenix,85008,1786142458,1786705499.8318,1080,socks5,141.148.158.143:1080,True,4026.5922546387,114023,17922,86.41706771761,141.148.158.143
True,1786705441.0439,elite,3322.0406209023,1783346064.4204,AS262462 Aranet Play,Aranet Play,Araguaína,South America,SA,Brazil,BR,,False,Aranet Comunicacao Ltda,-7.1873,-48.2005,False,Aranet Comunicacao Ltda,True,Tocantins,success,America/Araguaina,77824,1786368741,1786705499.7697,4145,socks4,177.54.239.13:4145,True,3966.6681289673,77318,79779,49.216725971852,177.54.239.13
True,1786704940.7064,elite,1013.4590169785,1784651635.1251,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,North Bergen,North America,,United States,US,,True,"DigitalOcean, LLC",40.7964,-74.0203,False,Digital Ocean,True,New Jersey,success,America/New_York,07047,1786464008,1786705499.7625,38182,socks5,69.55.49.177:38182,True,568.12930107117,100492,2030,98.019937184214,69.55.49.177
True,1786705457.4739,elite,3393.5428683493,1783555094.7833,AS30844 Liquid Telecommunications Ltd,LIQUID-AS,Nairobi,Africa,AF,Kenya,KE,,False,Liquid Telecommunications Ltd,-1.2841,36.8155,False,Tribe,True,Nairobi County,success,Africa/Nairobi,09831,1786578355,1786705499.7516,1080,socks4,197.155.73.230:1080,True,800.65965652466,86151,70658,54.940086347085,197.155.73.230
True,1786698467.8294,elite,156.27192702067,1784363984.5667,AS62610 Zenlayer Inc,ZEN-DPS,Frankfurt am Main,Europe,EU,Germany,DE,,False,Zenlayer Inc,50.1169,8.6837,False,Franet,True,Hesse,success,Europe/Berlin,60313,1786177187,1786705499.7375,11111,http,103.237.102.191:11111,True,16.401529312134,37036,151,99.593944120257,103.237.102.191
True,1786705429.3577,elite,927.22925952279,1786605544.7687,AS62005 BlueVPS OU,BV-EU-AS,Los Angeles,North America,,United States,US,,True,BlueVPS OU,34.0522,-118.2436,False,BlueVPS OU,False,California,success,America/Los_Angeles,,1786602600,1786705499.7298,8080,http,45.66.249.187:8080,True,318.64285469055,841,423,66.534810126582,45.66.249.187
True,1786705499.7241,elite,3970.9903135191,1776086910.3216,AS7303 Telecom Argentina S.A.,Telecom Argentina S.A.,San Salvador de Jujuy,South America,SA,Argentina,AR,,False,Telecom Argentina S.A.,-24.1815,-65.2938,False,Telecom Argentina S.A,True,Jujuy,success,America/Argentina/Jujuy,4600,1786367700,1786705499.7241,1085,socks4,190.228.33.42:1085,True,1222.8713035583,103986,269674,27.829042445003,190.228.33.42
True,1786705499.7156,elite,3395.9974392898,1786673353.2466,"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",VAINAVIINDUSTRIESLTD-IN,Nandyāl,Asia,AS,India,IN,,False,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",15.478,78.4836,False,Vainavi Industries Ltd,False,Andhra Pradesh,success,Asia/Kolkata,518501,1786671433,1786705499.7156,4153,socks4,119.235.50.78:4153,True,2029.5438766479,778,529,59.525631216526,119.235.50.78
True,1786705499.7009,elite,6773.7139978085,1786263273.6686,AS48347 JSC Mediasoft ekspert,MTW-AS,Korolyov,Europe,EU,Russia,RU,,True,MTW-: rucloud,55.9155,37.8263,False,MT FINANCE LLC,False,Moscow Oblast,success,Europe/Moscow,141070,1786262040,1786705499.7009,1080,socks5,194.87.147.132:1080,True,2168.0388450623,1269,7708,14.13612565445,194.87.147.132
True,1786705369.1127,elite,4335.9357660674,1786205554.5876,"AS23673 Cogetel Online, Cambodia, ISP",ONLINE-AS,Phnom Penh,Asia,AS,Cambodia,KH,,False,COGETEL Co,11.5583,104.9121,False,Cogetel Ltd,False,Phnom Penh,success,Asia/Phnom_Penh,,1786205187,1786705499.6974,1080,socks5,203.189.155.68:1080,True,1291.3272380829,5244,8902,37.070549978793,203.189.155.68
True,1786705465.411,elite,5083.2208343174,1786698455.2816,AS210546 CHSL ONE LTD,CHSL-ONE,Frankfurt am Main,Europe,EU,Germany,DE,,False,Chsl ONE LTD,50.1109,8.68213,False,Chsl ONE LTD,False,Hesse,success,Europe/Berlin,60313,1786696403,1786705499.6193,10808,socks4,195.133.64.192:10808,True,2070.0895786285,276,107,72.062663185379,195.133.64.192
True,1786705429.8304,elite,3850.88096644,1786170738.6367,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786167774,1786705499.6096,49473,socks4,216.106.179.216:49473,True,1946.3672637939,4672,12544,27.137546468401,216.106.179.216
True,1786705244.4149,elite,4363.2515912807,1785892400.6163,AS213887 WAIcore Ltd,WAICORE-LTD,Frankfurt am Main,Europe,EU,Germany,DE,Innenstadt I,False,WAIcore Ltd,50.1154,8.68058,False,WAIcore Ltd,True,Hesse,success,Europe/Berlin,60313,1786496790,1786705499.5876,18443,socks4,95.85.233.144:18443,True,2069.3762302399,53363,5931,89.997301581948,95.85.233.144
True,1786703991.314,elite,1279.1151597438,1786039626.7738,AS63023 GTHost,AS-GLOBALTELEHOST,Madrid,Europe,EU,Spain,ES,,False,GTHost,40.4167,-3.7037,False,GTHost,True,Madrid,success,Europe/Madrid,,1786642385,1786705499.5727,10006,socks4,66.163.118.99:10006,True,135.79773902893,50842,294,99.425062578223,66.163.118.99
True,1786705497.609,elite,3476.2234695672,1783233623.9385,AS139008 NEEF IT LIMITED,NEEFIT-AS-AP,Kishorganj,Asia,AS,Bangladesh,BD,,False,Neef IT Limited,24.3408,90.7606,False,NEEFIT,True,Dhaka Division,success,Asia/Dhaka,2300,1786257433,1786705499.5455,9090,socks4,103.138.145.174:9090,True,2197.1335411072,98533,76615,56.256994085002,103.138.145.174
True,1786705227.2617,elite,1887.2205906209,1710634251.4411,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,Alibaba Cloud (Singapore) Private Limited,1.35208,103.82,False,Alibaba.com Singapore E-Commerce Private Limited,True,North West,success,Asia/Singapore,858877,1786499271,1786705499.481,80,http,8.219.97.248:80,False,442.63911247253,703530,372033,65.410394370204,8.219.97.248
True,1786705499.3682,elite,2010.5727595023,1786226939.8559,AS3320 Deutsche Telekom AG,DTAG,Berlin,Europe,EU,Germany,DE,,False,Deutsche Telekom AG,52.5312,13.3878,False,SANA Berlin Hotel,False,State of Berlin,success,Europe/Berlin,10115,1786225529,1786705499.3682,4153,socks4,193.158.12.141:4153,True,222.28717803955,7554,11128,40.434642971845,193.158.12.141
True,1786705499.3033,elite,3474.9116087717,1786631039.9423,AS7552 Viettel Group,VIETEL-AS-AP,Bút Sơn,Asia,AS,Vietnam,VN,,False,Viettel Corporation,19.858,105.855,True,VIETEL,False,Thanh Hóa Province,success,Asia/Bangkok,,1786629818,1786705499.3033,1089,socks4,171.253.92.42:1089,True,1931.5388202667,1902,1422,57.220216606498,171.253.92.42
